sumario,materia,voces,texto,fallo
20319,DERECHO PROCESAL LABORAL,RECURSO DE INCONSTITUCIONALIDAD - CARGA DE LA PRUEBA - IMPROCEDENCIA,"Los aspectos relacionados con la carga probatoria, son ajenos al ámbito del recurso de inconstitucionalidad; así se ha resuelto en forma reiterada y pacífica que, cuando el planteo impugnaticio se dirige al cuestionamiento de la imposición de la carga de la prueba dispuesta por el a quo, la vía recursiva pertinente es la casatoria por cuanto involucra una cuestión normativa extraña al recurso de inconstitucionalidad.",10000001055
20320,DERECHO PROCESAL LABORAL,PROCEDIMIENTO - PRECLUSION - CONCEPTO,"La preclusión se define generalmente como la pérdida, extinción o consumación de una facultad procesal. Se dice que hay preclusión en el sentido de que para hacerlo queda clausurada la etapa procesal respectiva.",10000001055
19881,DERECHO DEL TRABAJO,DESPIDO INDIRECTO - HORAS EXTRA - FALTA DE PAGO - INJURIA LABORAL - IMPROCEDENCIA,"El no pago de las horas extras no constituye injuria suficiente para justificar per se el despido. Como consecuencia de lo dicho, si la causal invocada se refiere exclusivamente a este tema, no corresponde admitir como justificado el autodespido.",10000000820
19882,DERECHO DEL TRABAJO,JORNADA DE TRABAJO - HORAS EXTRA - NECESIDADES DEL SERVICIO - REMUNERACION,"La jornada legal de la prestación laboral constituye per se la protección legal básica a la cual necesariamente deben, tanto la patronal como la parte obrera someterse inexorablemente. Por ello, el trabajo desplegado en horario extraordinario, responde a una convención entre el sector empresario y obrero que al exceder el lapso de la jornada limitada y máxima antes indicada, no es por consecuencia un requisito fundamental ni exigible, a punto tal que la prestación en estas condiciones tiene como contrapartida el pago de una remuneración también extraordinaria.",10000000820
19883,DERECHO DEL TRABAJO,DERECHO LABORAL - JORNADA DE TRABAJO - HORAS EXTRA - REGIMEN LEGAL,"Los horarios extraordinarios, no obstante ser habituales y normales, no pueden considerarse como una modalidad esencial del contrato de trabajo, menos aún si tenemos en cuenta que los lineamientos de la política laboral tienden a extender las posibilidades de trabajo al mayor numero posible de trabajadores, lo cual se hace más factible si se otorga ese trabajo suplementario a nuevos obreros. (artículos 201 y 203 L.C.T.; LEY 11.544).",10000000820
20311,DERECHO PROCESAL LABORAL,CONTRATO DE TRABAJO - IMPOSICION DE COSTAS - INTERPRETACION RESTRICTIVA,"El art.31 del C.P.L. consagra el principio chiovendano de la derrota, - costas al vencido - dentro del mismo, esta Corte entiende por parte vencida, a aquella que obtiene un pronunciamiento totalmente adverso a la posición jurídica que asumió en el proceso, estableciendo que sólo por excepción el tribunal podrá eximir total o parcialmente de costas, cuando el vencido por circunstancias especiales demuestre haber litigado con razón probable y buena fe. La excepción consagrada, tiene su fundamento en el principio de gratuidad del derecho laboral, la que debe ser interpretada en forma restrictiva, y no puede ser nunca considerada como un castigo para el vencedor.",10000001049
20354,DERECHO PROCESAL LABORAL,FACULTADES DEL JUEZ - APRECIACION DEL JUEZ,"Los jueces tienen el deber de examinar autónomamente la realidad fáctica subsumiéndola en las normas jurídicas que rigen. En definitiva, no importa violación al principio de congruencia la actividad del juzgador que subsume en la regla jurídica adecuada la pretensión deducida, máxime cuando la ley que aplicó al caso fue el régimen general y más beneficioso para el trabajador en el caso concreto.",10000001071
20355,DERECHO DEL TRABAJO,DERECHO PROCESAL - FACULTADES DISCRECIONALES DEL JUEZ - APRECIACION DEL JUEZ - RELACION LABORAL - IURA NOVIT CURIA,"El juez puede calificar la relación sustancial y determinar las normas que la rigen, con independencia desde luego de opinión de las partes. El adagio iura novit curia encuentra en el campo laboral un ámbito de mucha aplicación.",10000001071
20309,DERECHO DEL TRABAJO,EXTINCION DEL CONTRATO DE TRABAJO - DESPIDO - RESPONSABILIDAD DEL EMPLEADOR - BIENES INMUEBLES - LUGAR DE TRABAJO,El hecho de que el inmueble no fuera de propiedad de los demandados no los desplaza de responsabilidades frente al trabajador si son los que explotaban efectivamente la finca y se mostraron como empleadores del actor.,10000001047
20334,DERECHO PROCESAL LABORAL,SENTENCIA - PRUEBA - FUNDAMENTACION DE SENTENCIAS,"Nada impide al juzgador apartarse de las constancias de la causa, siempre que justifique su decisión de restarles valor probatorio; pero lo que no puede es ignorarlas lisa y llanamente en la sentencia.",10000001060
20335,DERECHO PROCESAL DEL TRABAJO,SENTENCIA ARBITRARIA - OMISION DE PRUEBA,"A los efectos de verificar si las pruebas que el recurrente estima omitidas o erróneamente valoradas, resultan sustanciales al resultado del pleito, utilizamos el método lógico de inclusión hipotética, pues, si consideradas dichas pruebas advertimos que el resultado de la litis puede modificarse, entonces concluiremos en su esencialidad y consecuentemente su omisión puede descalificar la sentencia.",10000001060
20345,DERECHO PROCESAL LABORAL,DERECHO PROCESAL - TRIBUNAL DEL TRABAJO - COMPETENCIA - SALA UNIPERSONAL - EXCEPCIONES - TRIBUNAL COLEGIADO,"El artículo 1 del Código Procesal Laboral reformado por la ley 7062, establece la división del ejercicio de la competencia de los Tribunales del Trabajo en Salas Unipersonales, con las únicas dos excepciones, en que la jurisdicción se ejerce en forma colegiada, siendo estas: 1 - Cuando existan causas complejas, a criterio del Tribunal.; 2 - Si el actor o demandado al momento de interponer la demanda, o su conteste, solicitaran que la causa se tramite por Tribunal Pleno; debiendo siempre fundar la resolución de la petición.",10000001066
20346,DERECHO PROCESAL LABORAL,CONTRATO DE TRABAJO - DESPIDO - INJURIA LABORAL - GRAVEDAD DE LA FALTA - FACULTADES DISCRECIONALES DEL JUEZ,"La injuria y sus condiciones de gravedad son materia reservada por la ley a la valoración prudencial de los jueces - artículo 242 L.C.T. - y en tal virtud adquiere carácter de discrecionalidad que la exime de su posible censura en la instancia extraordinaria. La citada norma otorga al Tribunal de mérito una facultad discrecional en cuanto dispone que, para conceptualizar la injuria laboral, debe valorarse prudencialmente las circunstancias personales de cada caso.",10000001067
20339,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO POR TIEMPO INDETERMINADO - PERIODO DE PRUEBA,"El contrato por tiempo indeterminado se inicia con un periodo a prueba, instituto que ya existía en diferentes estatutos e introducido en la legislación en forma general por la ley 24.465, modificada por la ley 25013, 25250 y actualmente rige el artículo 92 bis con la modificación introducida por la ley 25877.",10000001063
20340,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - PERIODO DE PRUEBA - EJERCICIO ABUSIVO DEL DERECHO,"El periodo a prueba es fijado en forma general por un lapso de tres meses e implica una potestad del empleador que puede dejarlo de lado ya sea de común acuerdo entre las partes o de forma unilateral. Lo que no implica que pueda extinguirse en forma abusiva o discriminatoria, es decir hacer uso fraudulento del instituto.",10000001063
20341,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - CONTRATO DE TRABAJO POR TIEMPO INDETERMINADO - PERIODO DE PRUEBA - PLAZO,"El periodo a prueba del contrato por tiempo indeterminado tiene un plazo mínimo de antigüedad exigido el cual es de tres meses y un día conforme la actual redacción del art. 245 de la L.C.T. el que se correlaciona perfectamente con el plazo máximo por el que se entiende celebrado a prueba el contrato, durante los tres primeros meses según el artículo 92 bis de la L.C.T.",10000001063
20342,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - CONTRATO DE TRABAJO POR TIEMPO INDETERMINADO - PERIODO DE PRUEBA - PREAVISO DE RESCISION DEL CONTRATO,"Cuando el empleador cumple con la registración que exige la ley, no abona rubros indemnizatorios siempre que la ruptura de la relación laboral se produzca dentro de los tres primeros meses y sin necesidad de expresar causa teniendo como obligación preavisar con 15 días de anticipación de lo contrario dicho plazo se indemniza - artículo 92 bis primera parte, 231 y 232 LCT.",10000001063
20337,DERECHO DEL TRABAJO,SOCIEDADES - LEY DE SOCIEDADES COOPERATIVAS,"Cuando se trata de cooperativas no se puede pasar por alto los motivos fundados en el esfuerzo propio y la ayuda mutua para organizar y prestar servicios; su forma de constitución, condiciones de ingreso la administración, gobierno y representación legal; lo excedentes repartibles destinados a ser distribuidos en concepto de retorno entre los asociados en proporción al trabajo efectivamente prestado por cada uno de éstos.",10000001062
20338,DERECHO DEL TRABAJO,COOPERATIVA DE TRABAJO - ASOCIADOS - TRABAJADOR AUTONOMO,"Los asociados a las cooperativas de trabajo no revisten la calidad de dependientes de las mismas, debiéndoselos considerar como trabajadores autónomos - Resolución 784/92 A.N.S.S.",10000001062
20645,DERECHO PROCESAL LABORAL,COSTAS - FUERO LABORAL - EXCEPCIONES - FUNDAMENTACION DE SENTENCIAS,"La aplicación de la regla o de la excepción prevista en el art. 31 C.P.L. es una facultad discrecional del juzgador ordinario, pero en caso de apartarse de la misma deben fundarse debidamente las razones de probabilidad o de buena fe que justifiquen la excepción. Sin embargo, a los fines de establecer el criterio no se requieren términos sacramentales y las motivaciones de hecho y de derecho pueden provenir de toda la estructura de la sentencia.",10000001166
20646,DERECHO PROCESAL LABORAL,DERECHO DEL TRABAJO - EXIMICION DE COSTAS - FUNDAMENTACION DE SENTENCIAS - FACULTADES DISCRECIONALES DEL JUEZ - COSTAS AL VENCIDO,"La eximición en costas al vencido en el proceso laboral debe fundarse en las causas que señala expresamente la ley de rito - haber litigado con razón probable y buena fe. Al aplicar la regla excepcional, es necesario mínimamente dar las razones o fundamentos por las cuales ha eximido de las costas al vencido en el proceso, desde que la condena en costas es constitutiva, nace de la sentencia y naturalmente como elemento derivado de la sentencia requiere una correcta fundamentación.",10000001166
20647,DERECHO PROCESAL LABORAL,COSTAS - IMPOSICION DE COSTAS - OBLIGACIONES DEL JUEZ - EXCEPCIONES,"Es obligación del Juez fundar el criterio de imposición de costas cuando se hace mención del art. 31 C.P.L. y se decide, por excepción apartarse del principio chiovendano de la derrota procesal y entender por qué el litigante ha actuado de buena fe y con razón probable.",10000001166
20648,DERECHO DEL TRABAJO,DERECHO LABORAL - DESPIDO POR JUSTA CAUSA - PERDIDA DE CONFIANZA - TRABAJADOR - DEBER DE FIDELIDAD,"Se está frente a una causal de despido justificado por la pérdida de confianza, cuando las expectativas acerca de una conducta leal y acorde con el deber de fidelidad creadas con el devenir del vinculo se vean frustradas a raíz de un suceso que lleva al convencimiento de que el trabajador ya no es confiable, ya que podría configurarse la reiteración de conductas similares.",10000001167
20649,DERECHO DEL TRABAJO,DESPIDO POR JUSTA CAUSA - TRABAJADOR - DEBER DE FIDELIDAD - PRINCIPIO DE BUENA FE,El deber de fidelidad que está también ligado al principio de buena fe y la conducta exigible al trabajador en la prestación del trabajo conforme a los patrones de honestidad. Y si bien esto debe exigirse en todo los niveles con más razón en aquellos que por su categoría jerárquica se espera de ellos mayor deber de obrar.,10000001167
20650,DERECHO DEL TRABAJO,DESPIDO POR JUSTA CAUSA - PERDIDA DE CONFIANZA - ALCANCES,"En el despido justificado por perdida de confianza, el hecho desleal y sus alcances deben ser fehacientemente probados por el empleador, no bastando sus meras conjeturas. Es decir no puede justificarse sólo en el elemento subjetivo, sino que sobre la base de uno o varios hechos concretos y objetivos, se sienta esa apreciación subjetiva del empleador de que el trabajador ya no es de confianza.",10000001167
20638,DERECHO DEL TRABAJO,CAMARAS DEL TRABAJO - SUBSECRETARIA DE TRABAJO Y SEGURIDAD SOCIAL - MENDOZA - EMPLEADA DOMESTICA - COMPETENCIA POR EL GRADO - ARCHIVO DE LAS ACTUACIONES - IMPROCEDENCIA - REENVIO DE LAS ACTUACIONES - PROCEDENCIA,"Las Cámaras del Trabajo entienden en la temática de servicios domésticos, pero en grado de Apelación - ley 2.513 art. 26 y mod, ley 8.145 art. 23 y ss. - , por lo que de la presentación de las actuaciones ante la Cámara del Trabajo resulta su incompetencia, ya que quien debe entender en primer grado es la STSS - Sub Secretaria del Trabajo y Seguridad Social - , correspondiendo remitir las actuaciones a la misma, y no el archivo de ellas por el Tribunal - art. 25 de la ley 2.513.",10000001161
20955,DERECHO DEL TRABAJO,RIESGOS DEL TRABAJO - INCAPACIDAD LABORAL - DETERMINACION DE LA INCAPACIDAD,"El hecho que produjo la incapacidad laboral del trabajador, acaecieron con anterioridad a la entrada en vigor de la norma - Decreto 1694/09 art. 1 - , así como su proceso de re - agravación. Por ello la compensación económica debe determinarse conforme a la ley vigente cuando ese derecho se concreta.",10000001274
20794,DERECHO PROCESAL LABORAL,ACCIDENTES DE TRABAJO - INDEMNIZACION - PRESCRIPCION - REGIMEN LEGAL APLICABLE,Para el cómputo de la prescripción bianual hay que contemplar dos momentos a) desde que cada prestación es debida y b) desde el cese de la relación laboral si el primer término resulta indefinido.,10000001216
20796,DERECHO PROCESAL LABORAL,ACCIDENTES DE TRABAJO - INDEMNIZACION - PRESCRIPCION - REGIMEN LEGAL APLICABLE,"El límite temporal de la prescripción se encuentra representado por el transcurso de los dos años posteriores a la ruptura del vínculo de trabajo, salvo inconstitucionalidad - debidamente acreditada - del artículo 44 L.R.T.",10000001216
20908,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - DESPIDO INDIRECTO - CATEGORIA LABORAL - REGIMEN LEGAL,"El incremento indemnizatorio del art. 1 de la ley 25.323 ha sido previsto para los supuestos de ausencia o deficiencia de registración. La norma tiene como fundamento la eliminación del trabajo clandestino, por ello resulta improcedente cuando no media tal situación de clandestinidad como es el caso de una relación laboral registrada en forma correcta, pero con una categoría distinta de la reclamada.",10000001251
20914,DERECHO DEL TRABAJO,RECURSO DE CASACION - JUICIO LABORAL - COSTAS - IMPROCEDENCIA DEL RECURSO,"El cuestionamiento en torno a la imposición de costas es improcedente en esta instancia recursiva, porque el agravio atinente a la errónea interpretación del artículo 31 del Código Procesal Laboral, es una cuestión de hecho que es improponible por vía recursiva.",10000001254
20904,DERECHO DEL TRABAJO,INCONSTITUCIONALIDAD - INCONSTITUCIONALIDAD DE LA LEY - RESPONSABILIDAD DEL EMPLEADOR - LEY SOBRE RIESGOS DEL TRABAJO,"Es inconstitucional el artículo 39,1 ley 24.557 en cuanto exime de responsabilidad al empleador, pues este precepto no se adecua a los lineamientos constitucionales, negando a la hora de proteger la integridad psíquica, física y moral del trabajador, la consideración plena de la persona humana y de los imperativo de justicia. Es decir ésta norma se opone a la dignidad humana, entrañando una reificación de la persona humana, al considerarla sólo un objeto del mercado de trabajo. Así mismo se opone a los principios de justicia social, agravando la situación de desigualdad ya existente entre empleador y dependiente.",10000001250
20905,DERECHO DEL TRABAJO,VALOR VIDA - VIDA HUMANA - JUSTA INDEMNIZACION,"Siguiendo los lineamientos de la Corte Nacional podemos afirmar que, el valor de la vida humana no resulta apreciable tan sólo sobre la base de criterios exclusivamente materiales, ya que no se trata de medir en términos monetarios la exclusiva capacidad económica de las víctimas, lo que vendría a instaurar una suerte de justicia compensatoria de las indemnizaciones según el capital de aquéllas o según su capacidad de producir bienes económicos con el trabajo, puesto que las manifestaciones del espíritu también integran el valor vital de los hombres.",10000001250
20906,DERECHO DEL TRABAJO,DERECHO LABORAL - TRABAJADOR - ACCIDENTES DE TRABAJO - ACCIDENTES Y ENFERMEDADES DE TRABAJO,"Debe tenerse presente que éste sujeto preferencial del derecho - el trabajador - arrastra con su desgracia la de su entorno familiar quedando no sólo él al margen de los parámetros económicos y utilitarios de la sociedad, sino espiritualmente en penumbra, al hacerse incierto su futuro y el de su grupo de pertenencia.",10000001250
20907,DERECHO DEL TRABAJO,ACCIDENTES DE TRABAJO - REPARACION INTEGRAL - INDEMNIZACION - REGIMEN JURIDICO,"La jurisprudencia de éste Tribunal admite la coexistencia de dos sistemas de reparación, uno atribuible a la A.R.T. y dentro de los límites establecidos en la ley especial (contractual) y otro atribuible sólo al empleador que corresponde a los conceptos de integridad de la indemnización como principal obligado al cumplimiento de las normas de higiene y seguridad laboral, permitiendo así que ambas responsabilidades actúen en forma complementaria y subsidiaria.",10000001250
20949,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - DESPIDO INCAUSADO - INDEMNIZACION AGRAVADA - FINALIDAD,"Debe tenerse en cuenta que el fin del artículo 16 de la <a title='25561 Ley de Emergencia Publica y de Reforma del Regimen Cambiario' target='_blank' href='http://www.saij.gob.ar/25561-nacional-ley-emergencia-publica-reforma-regimen-cambiario-lns0004630-2002-01-06/123456789-0abc-defg-g03-64000scanyel?q=%28numero-norma%3A25561%20%29&o=0&f=Total%7CTipo%20de%20Documento/Legislaci%F3n%7CFecha%7COrganismo%7CPublicaci%F3n%7CTema%7CEstado%20de%20Vigencia%7CAutor%7CJurisdicci%F3n&t=1'>ley 25.561</a> con referencia al incremento indemnizatorio, no es mejorar las indemnizaciones sino fijar temporariamente los puestos de trabajo, imponiendo al empleador una regla de conducta (refuerza la estabilidad y castiga el acto antisocial de despedir en ese periodo de crisis).",10000001271
20957,DERECHO DEL TRABAJO,ARBITRARIEDAD - PRUEBA DECISIVA,"La arbitrariedad también existe en los casos de análisis erróneo - cuando el error es inexcusable - ilógico o inequitativo del material fáctico. La misión o merituación torcida de la prueba decisiva, relevante, esencial y conducente para la adecuada solución del litigio, hace que el fallo no sea una derivación razonada de lo alegado y probado en la causa, agraviando el art. 18 de la Constitución Nacional.",10000001276
20960,DERECHO DEL TRABAJO,PROTECCION CONSTITUCIONAL DEL TRABAJO - ACCIDENTES DE TRABAJO - ENFERMEDAD ACCIDENTE,"El deber de no dañar a otro - de raigambre constitucional arts. 14bis,19 de la Constitución Nacional y 75 ley Contrato de Trabajo - , pone en cabeza del empleador asegurar las condiciones dignas de trabajo, y el deber de seguridad con el fin específico de prevenir, o mitigar las consecuencias dañosas tanto de los accidentes de trabajo como de las enfermedades.",10000001276
